drug_name,condition,review,rating,date,useful_count
Losartan,Nerve Pain,The generic version works just as well for me.,5,2020-01-01,177
Ibuprofen,Bacterial Infection,I had to adjust the dosage a few times but now it works perfectly.,10,2020-01-01,160
Acetaminophen,Asthma,This medication has been very effective for me with minimal side effects.,10,2020-01-01,44
Atorvastatin,Fluid Retention,Had an allergic reaction. Would not recommend without consulting doctor first.,5,2020-01-02,157
Hydrochlorothiazide,Nerve Pain,Excellent medication with very few side effects in my experience.,5,2020-01-02,81
Ibuprofen,Heart Failure,I experienced some dizziness at first but it went away after a week.,4,2020-01-02,196
Metoprolol,Fluid Retention,No noticeable improvement after 6 weeks of use.,8,2020-01-03,34
Amoxicillin,Nerve Pain,I experienced some dizziness at first but it went away after a week.,8,2020-01-03,68
Prednisone,Chest Pain,This medication has been very effective for me with minimal side effects.,7,2020-01-03,141
Hydrochlorothiazide,Hypertension,Excellent medication with very few side effects in my experience.,2,2020-01-04,193
Losartan,Bacterial Infection,Works well in combination with my other medications.,5,2020-01-04,198
Acetaminophen,Inflammation,Works well in combination with my other medications.,1,2020-01-04,51
Omeprazole,Chest Pain,This drug changed my life. My symptoms are almost completely gone.,9,2020-01-05,194
Hydrochlorothiazide,Asthma,I experienced some dizziness at first but it went away after a week.,9,2020-01-05,126
Amlodipine,Fluid Retention,I have been on this for 3 months now with good results.,8,2020-01-05,166
Acetaminophen,Heart Failure,Had an allergic reaction. Would not recommend without consulting doctor first.,4,2020-01-06,187
Amlodipine,Chest Pain,The generic version works just as well for me.,5,2020-01-06,194
Gabapentin,Nerve Pain,This medication has been very effective for me with minimal side effects.,5,2020-01-06,24
Amlodipine,Pain,This medication has been very effective for me with minimal side effects.,10,2020-01-07,3
Sertraline,Asthma,I experienced some dizziness at first but it went away after a week.,6,2020-01-07,49
Hydrochlorothiazide,Bacterial Infection,Moderate improvement but the cost is quite high.,7,2020-01-07,5
Atorvastatin,Fluid Retention,Great improvement in my condition since starting this drug.,7,2020-01-08,34
Metoprolol,GERD,Excellent medication with very few side effects in my experience.,3,2020-01-08,10
Prednisone,GERD,I experienced some dizziness at first but it went away after a week.,3,2020-01-08,59
Prednisone,Hypertension,This drug changed my life. My symptoms are almost completely gone.,1,2020-01-09,185
Levothyroxine,Heart Failure,I have been on this for 3 months now with good results.,8,2020-01-09,34
Metformin,GERD,Excellent medication with very few side effects in my experience.,5,2020-01-09,16
Metformin,Type 2 Diabetes,No noticeable improvement after 6 weeks of use.,8,2020-01-10,176
Sertraline,Bacterial Infection,No noticeable improvement after 6 weeks of use.,5,2020-01-10,25
Sertraline,Chest Pain,Great improvement in my condition since starting this drug.,5,2020-01-10,95
Ibuprofen,Chest Pain,Works well in combination with my other medications.,9,2020-01-11,164
Lisinopril,Type 2 Diabetes,This drug changed my life. My symptoms are almost completely gone.,8,2020-01-11,182
Sertraline,GERD,I experienced some dizziness at first but it went away after a week.,3,2020-01-11,36
Ibuprofen,GERD,Had an allergic reaction. Would not recommend without consulting doctor first.,8,2020-01-12,7
Sertraline,Pain,No noticeable improvement after 6 weeks of use.,9,2020-01-12,121
Atorvastatin,Pain,The generic version works just as well for me.,5,2020-01-12,147
Losartan,Chest Pain,Great improvement in my condition since starting this drug.,3,2020-01-13,95
Lisinopril,Nerve Pain,Works well in combination with my other medications.,5,2020-01-13,36
Atorvastatin,GERD,This medication has been very effective for me with minimal side effects.,5,2020-01-13,177
Levothyroxine,Hypothyroidism,"Side effects were too severe, had to switch medications.",3,2020-01-14,107
Lisinopril,Hypertension,Had an allergic reaction. Would not recommend without consulting doctor first.,10,2020-01-14,13
Metformin,Chest Pain,Works well but I have to be careful about timing with meals.,7,2020-01-14,134
Losartan,Hypertension,No noticeable improvement after 6 weeks of use.,7,2020-01-15,55
Metformin,Nerve Pain,This medication has been very effective for me with minimal side effects.,3,2020-01-15,139
Losartan,Nerve Pain,No noticeable improvement after 6 weeks of use.,3,2020-01-15,14
Prednisone,Asthma,Great improvement in my condition since starting this drug.,1,2020-01-16,8
Sertraline,Heart Failure,Excellent medication with very few side effects in my experience.,4,2020-01-16,100
Prednisone,Inflammation,The generic version works just as well for me.,3,2020-01-16,17
Sertraline,Heart Failure,"Side effects were too severe, had to switch medications.",7,2020-01-17,139
Sertraline,Type 2 Diabetes,This medication has been very effective for me with minimal side effects.,6,2020-01-17,119
Gabapentin,Depression,My doctor recommended this and I am glad they did. Feeling much better.,1,2020-01-17,15
Lisinopril,Nerve Pain,"Side effects were too severe, had to switch medications.",3,2020-01-18,85
Ibuprofen,Depression,This medication has been very effective for me with minimal side effects.,1,2020-01-18,118
Amlodipine,Depression,I have been on this for 3 months now with good results.,2,2020-01-18,48
Ibuprofen,Inflammation,This medication has been very effective for me with minimal side effects.,8,2020-01-19,43
Atorvastatin,Hypertension,I experienced some dizziness at first but it went away after a week.,4,2020-01-19,138
Amoxicillin,Blood Pressure,This drug changed my life. My symptoms are almost completely gone.,1,2020-01-19,190
Hydrochlorothiazide,Nerve Pain,I had to adjust the dosage a few times but now it works perfectly.,2,2020-01-20,167
Losartan,Nerve Pain,Great improvement in my condition since starting this drug.,3,2020-01-20,30
Metformin,Inflammation,Works well in combination with my other medications.,5,2020-01-20,80
Amoxicillin,Asthma,No noticeable improvement after 6 weeks of use.,5,2020-01-21,190
Losartan,Inflammation,I experienced some dizziness at first but it went away after a week.,8,2020-01-21,28
Sertraline,High Cholesterol,Had an allergic reaction. Would not recommend without consulting doctor first.,2,2020-01-21,121
Amoxicillin,Type 2 Diabetes,I have been on this for 3 months now with good results.,5,2020-01-22,78
Amlodipine,Blood Pressure,This medication has been very effective for me with minimal side effects.,3,2020-01-22,57
Ibuprofen,GERD,Works well but I have to be careful about timing with meals.,3,2020-01-22,47
Metoprolol,High Cholesterol,I experienced some dizziness at first but it went away after a week.,7,2020-01-23,3
Atorvastatin,Heart Failure,Great improvement in my condition since starting this drug.,4,2020-01-23,150
Omeprazole,Inflammation,I experienced some dizziness at first but it went away after a week.,3,2020-01-23,187
Prednisone,Asthma,Moderate improvement but the cost is quite high.,1,2020-01-24,149
Omeprazole,GERD,No noticeable improvement after 6 weeks of use.,8,2020-01-24,121
Prednisone,High Cholesterol,The generic version works just as well for me.,10,2020-01-24,5
Amlodipine,Hypothyroidism,Great improvement in my condition since starting this drug.,7,2020-01-25,164
Levothyroxine,Heart Failure,My doctor recommended this and I am glad they did. Feeling much better.,2,2020-01-25,57
Prednisone,High Cholesterol,I have been on this for 3 months now with good results.,7,2020-01-25,20
Levothyroxine,Nerve Pain,This drug changed my life. My symptoms are almost completely gone.,5,2020-01-26,184
Hydrochlorothiazide,Type 2 Diabetes,Moderate improvement but the cost is quite high.,3,2020-01-26,69
Metoprolol,Bacterial Infection,No noticeable improvement after 6 weeks of use.,6,2020-01-26,149
Hydrochlorothiazide,Heart Failure,I experienced some dizziness at first but it went away after a week.,7,2020-01-27,9
Atorvastatin,Hypertension,I experienced some dizziness at first but it went away after a week.,10,2020-01-27,170
Lisinopril,Heart Failure,I had to adjust the dosage a few times but now it works perfectly.,9,2020-01-27,148
Prednisone,Bacterial Infection,I experienced some dizziness at first but it went away after a week.,3,2020-01-28,110
Hydrochlorothiazide,Asthma,The generic version works just as well for me.,5,2020-01-28,187
Sertraline,Inflammation,Had an allergic reaction. Would not recommend without consulting doctor first.,7,2020-01-28,65
Gabapentin,Fluid Retention,The generic version works just as well for me.,9,2020-02-01,172
Losartan,High Cholesterol,"Side effects were too severe, had to switch medications.",8,2020-02-01,97
Metformin,Asthma,This medication has been very effective for me with minimal side effects.,9,2020-02-01,134
Omeprazole,GERD,I have been on this for 3 months now with good results.,5,2020-02-02,6
Hydrochlorothiazide,Pain,"Side effects were too severe, had to switch medications.",8,2020-02-02,168
Hydrochlorothiazide,Hypertension,This drug changed my life. My symptoms are almost completely gone.,2,2020-02-02,146
Metformin,Nerve Pain,Works well but I have to be careful about timing with meals.,10,2020-02-03,145
Atorvastatin,Hypertension,The generic version works just as well for me.,5,2020-02-03,11
Metformin,Blood Pressure,This drug changed my life. My symptoms are almost completely gone.,9,2020-02-03,196
Prednisone,Chest Pain,The generic version works just as well for me.,10,2020-02-04,186
Levothyroxine,High Cholesterol,Works well in combination with my other medications.,4,2020-02-04,83
Amlodipine,GERD,Had an allergic reaction. Would not recommend without consulting doctor first.,5,2020-02-04,130
Losartan,GERD,I have been on this for 3 months now with good results.,1,2020-02-05,129
Atorvastatin,Hypertension,"Side effects were too severe, had to switch medications.",10,2020-02-05,135
Losartan,Heart Failure,Works well but I have to be careful about timing with meals.,7,2020-02-05,47
Atorvastatin,Pain,Works well in combination with my other medications.,1,2020-02-06,43
Lisinopril,High Cholesterol,"Side effects were too severe, had to switch medications.",8,2020-02-06,175
Acetaminophen,High Cholesterol,Works well in combination with my other medications.,1,2020-02-06,91
Prednisone,Heart Failure,This medication has been very effective for me with minimal side effects.,4,2020-02-07,194
Amlodipine,Type 2 Diabetes,This medication has been very effective for me with minimal side effects.,1,2020-02-07,4
Hydrochlorothiazide,Fluid Retention,The generic version works just as well for me.,4,2020-02-07,74
Acetaminophen,Pain,The generic version works just as well for me.,8,2020-02-08,61
Sertraline,Hypertension,This drug changed my life. My symptoms are almost completely gone.,1,2020-02-08,0
Hydrochlorothiazide,Fluid Retention,This drug changed my life. My symptoms are almost completely gone.,10,2020-02-08,23
Lisinopril,GERD,I experienced some dizziness at first but it went away after a week.,7,2020-02-09,0
Metformin,Depression,Works well in combination with my other medications.,2,2020-02-09,98
Sertraline,Inflammation,No noticeable improvement after 6 weeks of use.,3,2020-02-09,60
Atorvastatin,Hypothyroidism,I have been on this for 3 months now with good results.,4,2020-02-10,116
Acetaminophen,Bacterial Infection,This drug changed my life. My symptoms are almost completely gone.,9,2020-02-10,197
Sertraline,Pain,I have been on this for 3 months now with good results.,10,2020-02-10,11
Losartan,Type 2 Diabetes,Had an allergic reaction. Would not recommend without consulting doctor first.,6,2020-02-11,76
Hydrochlorothiazide,Bacterial Infection,I experienced some dizziness at first but it went away after a week.,9,2020-02-11,108
Gabapentin,GERD,The generic version works just as well for me.,4,2020-02-11,10
Metformin,Type 2 Diabetes,I had to adjust the dosage a few times but now it works perfectly.,10,2020-02-12,150
Hydrochlorothiazide,GERD,Moderate improvement but the cost is quite high.,4,2020-02-12,63
Losartan,Hypertension,I had to adjust the dosage a few times but now it works perfectly.,2,2020-02-12,185
Amoxicillin,Chest Pain,I have been on this for 3 months now with good results.,2,2020-02-13,24
Hydrochlorothiazide,Asthma,I experienced some dizziness at first but it went away after a week.,6,2020-02-13,23
Levothyroxine,Depression,Had an allergic reaction. Would not recommend without consulting doctor first.,6,2020-02-13,177
Omeprazole,Heart Failure,Had an allergic reaction. Would not recommend without consulting doctor first.,3,2020-02-14,194
Sertraline,Inflammation,Works well but I have to be careful about timing with meals.,3,2020-02-14,4
Amlodipine,Hypothyroidism,Works well but I have to be careful about timing with meals.,1,2020-02-14,17
Metoprolol,Chest Pain,My doctor recommended this and I am glad they did. Feeling much better.,4,2020-02-15,71
Losartan,Blood Pressure,This medication has been very effective for me with minimal side effects.,8,2020-02-15,82
Losartan,Depression,This drug changed my life. My symptoms are almost completely gone.,10,2020-02-15,64
Omeprazole,Depression,I had to adjust the dosage a few times but now it works perfectly.,5,2020-02-16,103
Losartan,Nerve Pain,Great improvement in my condition since starting this drug.,1,2020-02-16,24
Metformin,Fluid Retention,Great improvement in my condition since starting this drug.,5,2020-02-16,164
Acetaminophen,Type 2 Diabetes,Excellent medication with very few side effects in my experience.,3,2020-02-17,180
